ID,Area,City,Restaurant,Price,Avg ratings,Food type,Latitude,Longitude,Geocode Precision
379776,Nsp,Delhi,Hill Chillz 26,300,4.3,"Ice Cream,Beverages",28.698,77.152,Locality (matched)
379796,Kothapet & Dilsukhnagar,Hyderabad,Five Star And Koli Hut,120,4.7,Indian,17.37,78.528,Locality (matched)
379892,Abids & Koti,Hyderabad,The Brooklyn Creamery - Healthy Ice Cream,200,3.9,"Desserts,Ice Cream,Healthy Food",17.387,78.477,Locality (matched)
379909,Chembur,Mumbai,Momo'S Mealbox,300,2.9,"Chinese,Snacks,Beverages",19.0522,72.9006,Locality (matched)
379915,Ruby Area,Kolkata,Abar Khabo One,100,4.6,"Indian,Chinese",22.514,88.398,Locality (matched)
379942,Marol Sakinaka,Mumbai,Mega Food Court,300,4.4,"Indian,North Indian,South Indian,Biryani,Pizzas,Desserts,Beverages",19.1073,72.8873,Locality (matched)
379995,Salt Lake,Kolkata,Byepass Dhaba,600,4.3,"North Indian,Chinese,Biryani,Tandoor",22.585,88.418,Locality (matched)
380023,Lake Town,Kolkata,Gupta Brothers Lake Town,300,4.2,Asian  Chinese  Combo  Desserts  Indian  North Indian,22.605,88.395,Locality (matched)
380069,Annanagar,Chennai,Sumac - Middle Eastern Medley,400,3.9,"Continental,Snacks,Salads",13.085,80.2101,Locality (matched)
380114,Annanagar,Chennai,Grillsmith - Flamin' Fare,400,4.3,"Continental,North Indian,South Indian,Chinese",13.085,80.2101,Locality (matched)
380118,Lake Town,Kolkata,Cookie2Nite,120,2.9,Desserts  Snacks  Fast Food  Beverages  Combo,22.605,88.395,Locality (matched)
380177,Athwa,Surat,Food  On  Way,200,4.2,"North Indian,Fast Food,Chinese,Biryani,Pizzas,Street Food",21.178,72.793,Locality (matched)
380189,Basavanagudi,Bangalore,The Cake House,280,4.3,"Indian,Bakery,Sweets",12.9422,77.576,Locality (matched)
380243,Chembur,Mumbai,Kerala Palace,350,4.3,"Kerala,South Indian,Indian,Biryani",19.0522,72.9006,Locality (matched)
380346,A.S. Rao Nagar & Sainikpuri,Hyderabad,Sri Sai Ak Tiffin Centre,200,4.2,Indian  South Indian,17.47,78.545,Locality (matched)
380368,Basavanagudi,Bangalore,Mumbai Xpress,300,4.1,"Chaat,Street Food,Fast Food",12.9422,77.576,Locality (matched)
380396,Punjabi Bagh,Delhi,Pranav Kabab,600,2.9,"Indian,Chinese,Mughlai,Biryani",28.665,77.131,Locality (matched)
380398,Central Bangalore,Bangalore,Punjab Express,300,4.1,North Indian,12.9767,77.5993,Locality (matched)
380461,Ruby Area,Kolkata,Nandalal Sweets,200,3.8,Sweets,22.514,88.398,Locality (matched)
380467,Athwa,Surat,Pizza 2000,250,3.8,"Pizzas,Combo",21.178,72.793,Locality (matched)
380580,Athwa,Surat,Mr. Waffle And  Momos,200,3.4,"Chinese,Desserts",21.178,72.793,Locality (matched)
380609,Banjara Hills,Hyderabad,Ab'S-Absolute Barbecues,500,3.5,"Barbecue,Biryani,Chinese",17.4156,78.4347,Locality (matched)
380632,Uppal,Hyderabad,Waffee & Co,200,4.4,"Desserts,Waffle",17.4062,78.559,Locality (matched)
380638,Kothrud,Pune,Pimlico Kothrud,800,4.5,"Continental,Indian",18.5074,73.8077,Locality (matched)
380686,Malleshwaram,Bangalore,Pastries Park,100,2.9,"Bakery,Desserts",13.0035,77.5647,Locality (matched)
380710,Alipore,Kolkata,Utsaav,300,2.9,Chinese,22.533,88.33,Locality (matched)
380756,Basavanagudi,Bangalore,Gama Gama Hotel,150,4.4,"Street Food,South Indian,Indian",12.9422,77.576,Locality (matched)
380796,Tolichowki,Hyderabad,Galaxy Paradise,250,3.6,"Biryani,Chinese",17.4001,78.418,Locality (matched)
380800,Kidderpore,Kolkata,New Chaturbhuj Mistanna Bhandar,200,4.4,Sweets  Snacks,22.54,88.322,Locality (matched)
380806,Kharkhana & Trimulgherry,Hyderabad,Balaji Jainarayan Mithai Bhandar,300,3.8,Sweets  Snacks  Bengali,17.465,78.505,Locality (matched)
380837,Kothrud,Pune,Gypsy Caterers,500,2.9,Indian,18.5074,73.8077,Locality (matched)
381004,Jadavpur,Kolkata,Yummy Express,200,2.9,"American,Beverages,Snacks",22.499,88.371,Locality (matched)
381037,South Kolkata,Kolkata,Hot Spring Kitchen And Lounge,500,2.9,Chinese,22.5,88.345,Locality (matched)
381056,Ruby Area,Kolkata,The Parking,200,4.3,"Chinese,Tandoor,Fast Food,Mughlai,Combo,Beverages",22.514,88.398,Locality (matched)
381060,Chennai,Chennai,Fb Cakes Royapuram,200,4.1,Bakery,13.0827,80.2707,Locality (matched)
381076,Kothrud,Pune,Origins,1600,4.5,"Thai,Indonesian,Japanese,Burmese",18.5074,73.8077,Locality (matched)
381153,Banjara Hills,Hyderabad,The Bedford Bakehouse And Tearoom,500,2.9,Continental,17.4156,78.4347,Locality (matched)
381206,Rajajinagar,Bangalore,Friends Chinese Corner,200,2.9,"Chinese,Kebabs",12.9905,77.5554,Locality (matched)
381216,Scruz Bandra East,Mumbai,Vinanjay Family Restaurant &Bar,350,2.9,Indian  Chinese  South Indian  Biryani  Tandoor  Snacks,19.075,72.845,Locality (matched)
381248,Kurla,Mumbai,Express Chinese,250,3.1,Chinese,19.0728,72.8826,Locality (matched)
381284,Naranpura,Ahmedabad,Flourish Lounge Cafe,200,2.9,"Beverages,Ice Cream",23.048,72.558,Locality (matched)
381293,Ameerpet,Hyderabad,Abhiruchi Swagruha Foods,250,4.5,Sweets  Snacks,17.4374,78.4487,Locality (matched)
381296,Juhu,Mumbai,99 Chinese,250,2.9,Chinese,19.1075,72.8263,Locality (matched)
381298,Kurla,Mumbai,Chinese Adda,250,2.9,Chinese,19.0728,72.8826,Locality (matched)
381309,Piplod,Surat,La Festa,500,3.7,"Pizzas,Chinese,Italian,Fast Food",21.166,72.777,Locality (matched)
381312,Kurla,Mumbai,Bhot Hard Chinese,250,2.9,Chinese,19.0728,72.8826,Locality (matched)
381318,Piplod,Surat,Iconic Food Victory,300,2.9,"Chinese,North Indian,Indian,Biryani,Pastas,Combo,Beverages",21.166,72.777,Locality (matched)
381333,Juhu,Mumbai,Vista Fast Food,250,2.9,"Chinese,Indian",19.1075,72.8263,Locality (matched)
381334,Kurla,Mumbai,Papa Pizza,250,2.9,"Indian,Chinese",19.0728,72.8826,Locality (matched)
381336,Rohini,Delhi,Healthy Tree,350,4.1,"Beverages,Healthy Food,Salads",28.7041,77.1025,Locality (matched)
381339,Chembur,Mumbai,Appetite Chinese Food,300,4.3,Chinese,19.0522,72.9006,Locality (matched)
381343,Nallakunta & Vidyanagar,Hyderabad,Tasty Inn Hyderabadi Biryani,250,2.9,"Biryani,Indian,Chinese,Seafood",17.402,78.4985,Locality (matched)
381460,Jadavpur,Kolkata,Shandar Chinese Kitchen,300,4.4,"Chinese,Snacks",22.499,88.371,Locality (matched)
381488,Jadavpur,Kolkata,The Kindest Biryani,200,2.9,Indian,22.499,88.371,Locality (matched)
381535,Shivaji Nagar,Pune,Terrasinne Food Corp.Llp,600,2.9,Indian,18.5308,73.8478,Locality (matched)
381553,Basavanagudi,Bangalore,Uttara Karnatakadha Jolada Rotti Mattu Chapati Angadi,100,4.3,"South Indian,Snacks,Indian",12.9422,77.576,Locality (matched)
381612,Nallakunta & Vidyanagar,Hyderabad,Chickden,250,4.1,"Indian,Arabian,Chinese",17.402,78.4985,Locality (matched)
381638,South Kolkata,Kolkata,Little Asia,300,4.5,"Chinese,Fast Food",22.5,88.345,Locality (matched)
